latitude,longitude,count
51.539328,-0.074284,15
51.502042,-0.1844,19
51.508446,-0.131961,17
51.493699,-0.121394,16
51.505044,-0.115851,14
51.50357,-0.020068,12
51.469217,-0.112686,9
51.51244,-0.19096,15
51.474665,-0.183165,27
51.481121,-0.149035,10
51.524438,-0.138019,26
51.530326,-0.042744,11
51.511654,-0.179668,16
51.461343,-0.159322,6
51.497382,-0.089446,9
51.51348,-0.17977,20
51.513735,-0.193487,11
51.503802,-0.215808,6
51.515607,-0.183118,7
51.511756,-0.119643,26
51.521113,-0.078869,25
51.519265,-0.021345,14
51.525542,-0.138231,9
51.522954,-0.094934,16
51.493724,-0.198286,10
51.531666,-0.109914,10
51.470732,-0.126994,3
51.470475,-0.15213,6
51.47787,-0.126874,9
51.514746,-0.165164,16
51.526008,-0.096317,28
51.530991,-0.093903,18
51.529163,-0.10997,10
51.529423,-0.097122,13
51.490962,-0.139625,20
51.493583,-0.165101,6
51.486965,-0.116625,8
51.541596,-0.125441,8
51.483507,-0.147714,18
51.493343,-0.194757,9
51.499169,-0.055846,17
51.53356,-0.09315,31
51.517428,-0.107987,33
51.492807,-0.091938,5
51.492345,-0.141334,14
51.491593,-0.192369,10
51.45787,-0.174691,4
51.472817,-0.199783,24
51.534464,-0.076341,10
51.515631,-0.132328,57
51.520597,-0.032566,5
51.468814,-0.210279,12
51.487129,-0.009001,6
51.487964,-0.161765,12
51.509908,-0.187842,9
51.539099,-0.141728,12
51.481021,-0.209973,10
51.516517,-0.164393,4
51.494412,-0.173881,31
51.510701,-0.121723,31
51.511726,-0.113855,6
51.516196,-0.029138,10
51.494645,-0.158105,15
51.501945,-0.194392,7
51.513821,-0.107927,25
51.492479,-0.178433,11
51.523673,-0.128377,7
51.5293,-0.128279,17
51.526293,-0.073955,8
51.503117,-0.15352,41
51.494561,-0.153933,12
51.532661,-0.099981,12
51.505817,-0.100186,25
51.503688,-0.098497,15
51.51397,-0.09294,62
51.479601,-0.111471,18
51.473611,-0.191803,11
51.524564,-0.116279,20
51.541007,-0.14326,9
51.514619,-0.137841,40
51.472993,-0.133972,12
51.482678,-0.117661,11
51.53256,-0.16862,5
51.479932,-0.194116,24
51.504038,-0.2174,22
51.500693,-0.102091,10
51.504044,-0.104778,22
51.487196,-0.179369,22
51.519069,-0.088285,38
51.476964,-0.174347,11
51.467064,-0.193502,10
51.515256,-0.058641,13
51.535179,-0.03338,8
51.485743,-0.223616,8
51.481805,-0.180274,13
51.51687,-0.213872,6
51.504627,-0.091773,45
51.46067,-0.198735,8
51.534408,-0.109025,9
51.475089,-0.201968,17
51.520858,-0.089887,37
51.502319,-0.200742,7
51.506304,-0.087262,41
51.513103,-0.131213,18
51.498884,-0.165471,24
51.518154,-0.062697,9
51.515108,-0.208565,9
51.46822,-0.190346,15
51.50621,-0.114842,7
51.49968,-0.221791,8
51.500703,-0.129698,25
51.5212,-0.208888,7
51.500647,-0.0786,16
51.49914,-0.112031,11
51.488852,-0.105593,14
51.49605,-0.104193,8
51.514225,-0.08066,29
51.479463,-0.195777,15
51.534042,-0.086379,8
51.472876,-0.176267,11
51.514311,-0.200838,16
51.528279,-0.119558,3
51.497608,-0.211455,13
51.508622,-0.065006,5
51.514759,-0.148105,29
51.54094,-0.01051,31
51.520253,-0.141327,23
51.518162,-0.135025,19
51.496468,-0.173796,8
51.493978,-0.127554,22
51.505224,-0.098031,20
51.516154,-0.082422,50
51.519435,-0.119123,17
51.48357,-0.202038,15
51.518622,-0.176645,15
51.506451,-0.170279,16
51.530344,-0.100168,8
51.517008,-0.093885,11
51.507424,-0.134621,35
51.53089,-0.089782,7
